;PK;NOMBRE;DIRECCION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;LATITUD;LONGITUD;closestStation
0;49338;CENTRO DEPORTIVO MUNICIPAL ALBERTO GARCA;CALLE REGUERA DE TOMATEROS, 39B;MADRID;MADRID;28053;ENTREVIAS;PUENTE DE VALLECAS;40.3724214180634;-3.6574515621755106;28079040
1;10183549;CENTRO DEPORTIVO MUNICIPAL ALCANTARA;CALLE ALCANTARA;MADRID;MADRID;28006;GOYA;SALAMANCA;40.4281029153811;-3.6737317205040494;28079008
2;114782;CENTRO DEPORTIVO MUNICIPAL ALFREDO GOYENECHE;CALLE ARROYO DE POZUELO;;;28023;ARAVACA;MONCLOA-ARAVACA;40.4521213501285;-3.78328320371919;28079024
3;4696;CENTRO DEPORTIVO MUNICIPAL ALUCHE;AVENIDA DE LAS AGUILAS;MADRID;MADRID;28044;LAS AGUILAS;LATINA;40.382720517194706;-3.77365360088156;28079018
4;99578;CENTRO DEPORTIVO MUNICIPAL BARAJAS;AVENIDA LOGROO;MADRID;MADRID;28042;ALAMEDA DE OSUNA;BARAJAS;40.4630138280965;-3.58769332407462;28079055
5;10051058;CENTRO DEPORTIVO MUNICIPAL BARCEL;MERCADO BARCELO;MADRID;MADRID;28004;JUSTICIA/ CENTRO;;40.4267106934776;-3.6988277636112703;28079035
6;4705;CENTRO DEPORTIVO MUNICIPAL CASA DE CAMPO;PASEO PUERTA DEL ANGEL;MADRID;MADRID;28011;CASA DE CAMPO;MONCLOA-ARAVACA;40.416126287892;-3.7335365736416204;28079024
7;78960;CENTRO DEPORTIVO MUNICIPAL CENTRO INTEGRADO ARGANZUELA;CALLE CANARIAS;MADRID;MADRID;28045;PALOS DE MOGUER;ARGANZUELA;40.4020727986286;-3.6955325387824;28079047
8;4687;CENTRO DEPORTIVO MUNICIPAL CERRO ALMODVAR;CALLE CERRO DE ALMODOVAR;MADRID;MADRID;28007;SANTA EUGENIA;VILLA DE VALLECAS;40.3816857061153;-3.60233646095348;28079054
9;4700;CENTRO DEPORTIVO MUNICIPAL CHAMARTN;AVENIDA PIO XII;MADRID;MADRID;28016;NUEVA ESPAA;CHAMARTIN;40.4611334983069;-3.67620824606112;28079011
10;6208448;CENTRO DEPORTIVO MUNICIPAL CIRCUITO BMX;CALLE EMBAJADORES;MADRID;MADRID;28045;LEGAZPI;ARGANZUELA;40.385539006771204;-3.6898722494765295;28079047
11;4702;CENTRO DEPORTIVO MUNICIPAL CIUDAD DE LOS POETAS;CALLE ANTONIO MACHADO;MADRID;MADRID;28035;VALDEZARZA;MONCLOA-ARAVACA;40.4659206780808;-3.7189325594658498;28079039
12;4672;CENTRO DEPORTIVO MUNICIPAL CONCEPCIN;CALLE JOSE DEL HIERRO;MADRID;MADRID;28027;CONCEPCION;CIUDAD LINEAL;40.437256520472495;-3.6484498132292;28079016
13;134059;CENTRO DEPORTIVO MUNICIPAL DAOZ Y VELARDE 1;PLAZA DAOIZ Y VELARDE;MADRID;MADRID;28007;PACIFICO;RETIRO;40.4013311774335;-3.67781314347642;28079047
14;4726;CENTRO DEPORTIVO MUNICIPAL DAOZ Y VELARDE 2;CALLE ALBERCHE;MADRID;MADRID;28007;PACIFICO;RETIRO;40.4007991897123;-3.67789029703668;28079047
15;140197;CENTRO DEPORTIVO MUNICIPAL EL ESPINILLO;CARRETERA VILLAVERDE A VALLECAS;MADRID;MADRID;28041;LOS ROSALES;VILLAVERDE;40.3563419399193;-3.68659514182063;28079017
16;84661;CENTRO DEPORTIVO MUNICIPAL EL OLIVILLO;CALLE OLIVILLO;MADRID;MADRID;28011;LUCERO;LATINA;40.406524702214604;-3.74588923380108;28079024
17;4676;CENTRO DEPORTIVO MUNICIPAL ENTREVAS;RONDA SUR;MADRID;MADRID;28053;ENTREVIAS;PUENTE DE VALLECAS;40.37841321270621;-3.67453231713748;28079040
18;6486044;CENTRO DEPORTIVO MUNICIPAL ESCUELAS DE SAN ANTN;CALLE FARMACIA;MADRID;MADRID;28004;JUSTICIA;CENTRO;40.4238267012085;-3.69901010326369;28079035
19;4728;CENTRO DEPORTIVO MUNICIPAL ESTANQUE DEL RETIRO;PASEO COLOMBIA;MADRID;MADRID;28009;LOS JERONIMOS;RETIRO;40.4184360059608;-3.6845031319515695;28079008
20;4622862;CENTRO DEPORTIVO MUNICIPAL FABIN RONCERO;AVENIDA SEPTIMA;MADRID;MADRID;28022;REJAS;SAN BLAS-CANILLEJAS;40.4496568411444;-3.5975772011825002;28079059
21;4703;CENTRO DEPORTIVO MUNICIPAL FERNANDO MARTN;AVENIDA SANTO ANGEL DE LA GUARDA;MADRID;MADRID;28039;VALDEZARZA;MONCLOA-ARAVACA;40.4609354046231;-3.71219182992886;28079038
22;4623547;CENTRO DEPORTIVO MUNICIPAL FRANCISCO FERNNDEZ OCHOA;CALLE CATORCE OLIVAS;MADRID;MADRID;28054;BUENAVISTA;CARABANCHEL;40.3658177697811;-3.7408939805337798;28079056
23;4685;CENTRO DEPORTIVO MUNICIPAL FRANCOS RODRGUEZ;CALLE NUMANCIA;MADRID;MADRID;28039;CIUDAD UNIVERSITARIA;MONCLOA-ARAVACA;40.453587531389104;-3.71309309458223;28079038
24;4623697;CENTRO DEPORTIVO MUNICIPAL FUENTE DEL BERRO;CALLE ELVIRA;MADRID;MADRID;28028;FUENTE DEL BERRO;SALAMANCA;40.4217195685487;-3.6652515154670096;28079008
25;124194;CENTRO DEPORTIVO MUNICIPAL FLIX RUBIO;CALLE ALIANZA;MADRID;MADRID;28041;LOS ROSALES;VILLAVERDE;40.3574296786752;-3.69152880469694;28079017
26;4698;CENTRO DEPORTIVO MUNICIPAL GALLUR;CALLE GALLUR;MADRID;MADRID;28047;LOS CARMENES;LATINA;40.398465832065;-3.73538345068692;28079018
27;51661;CENTRO DEPORTIVO MUNICIPAL GIMNASIO MOSCARD;CALLE PILAR DE ZARAGOZA;MADRID;MADRID;28028;GUINDALERA;SALAMANCA;40.4379452896769;-3.67450202999726;28079048
28;4680;CENTRO DEPORTIVO MUNICIPAL HORTALEZA;CARRETERA ESTACION DE HORTALEZA;MADRID;MADRID;28033;APOSTOL SANTIAGO;HORTALEZA;40.4787279264401;-3.6527183525553;28079057
29;4704;CENTRO DEPORTIVO MUNICIPAL JOS MARA CAGIGAL;CALLE SANTA POLA;MADRID;MADRID;28008;CASA DE CAMPO;MONCLOA-ARAVACA;40.4321495534278;-3.7369645992831297;28079024
30;4623700;CENTRO DEPORTIVO MUNICIPAL LA ALMUDENA;CALLE NICOLAS SALMERN;MADRID;MADRID;28017;PUEBLO NUEVO;CIUDAD LINEAL;40.420606498695996;-3.63242373072276;28079036
31;4722;CENTRO DEPORTIVO MUNICIPAL LA BOMBILLA;CALLE SENDA DEL REY;MADRID;MADRID;28040;CASA DE CAMPO;MONCLOA-ARAVACA;40.432667912172796;-3.73194783649064;28079004
32;4697;CENTRO DEPORTIVO MUNICIPAL LA CHOPERA;"PASEO FERNAN NU&Ntilde;EZ";MADRID;MADRID;28009;LOS JERONIMOS;RETIRO;40.4116632123776;-3.6856838249046096;28079049
33;4674;CENTRO DEPORTIVO MUNICIPAL LA ELIPA;CALLE ALCALDE GARRIDO JUARISTI;MADRID;MADRID;28030;MEDIA LEGUA;MORATALAZ;40.4143312376848;-3.65594987585228;28079036
34;4694;CENTRO DEPORTIVO MUNICIPAL LA FUNDI;CALLE ALICANTE;MADRID;MADRID;28045;DELICIAS;ARGANZUELA;40.394377158851;-3.6913410601461;28079047
35;104235;CENTRO DEPORTIVO MUNICIPAL LA MAS;CALLE MASO;MADRID;MADRID;28034;MIRASIERRA;FUENCARRAL-EL PARDO;40.4844259993208;-3.71442225647198;28079039
36;4695;CENTRO DEPORTIVO MUNICIPAL LA MINA;CALLE MONSEOR OSCAR ROMERO;MADRID;MADRID;28025;VISTA ALEGRE;CARABANCHEL;40.382349556646;-3.7464825248237004;28079018
37;4707;CENTRO DEPORTIVO MUNICIPAL LA VAGUADA;AVENIDA MONFORTE DE LEMOS;MADRID;MADRID;28029;EL PILAR;FUENCARRAL-EL PARDO;40.4787675835745;-3.7086993281311904;28079039
38;4834;CENTRO DEPORTIVO MUNICIPAL LAGO CASA DE CAMPO;PASEO EMBARCADERO;MADRID;MADRID;28011;CASA DE CAMPO;MONCLOA-ARAVACA;40.4170130975037;-3.7314952685679903;28079024
39;4538574;CENTRO DEPORTIVO MUNICIPAL LAS CRUCES;AVENIDA POBLADOS;MADRID;MADRID;28044;LAS AGUILAS;LATINA;40.379148937377295;-3.7565547624119597;28079018
40;4619937;CENTRO DEPORTIVO MUNICIPAL LOS PRUNOS;CALLE PETUNIAS;MADRID;MADRID;28042;PALOMAS;HORTALEZA;40.453257453448;-3.61869564281998;28079059
41;4681;CENTRO DEPORTIVO MUNICIPAL LUIS ARAGONS;CALLE EL PROVENCIO;MADRID;MADRID;28043;CANILLAS;HORTALEZA;40.4646509480538;-3.62758771450258;28079059
42;121729;CENTRO DEPORTIVO MUNICIPAL MARQUS DE SAMARANCH;PASEO IMPERIAL;MADRID;MADRID;28005;IMPERIAL;ARGANZUELA;40.4076150141064;-3.7173807221939104;28079035
43;4701827;CENTRO DEPORTIVO MUNICIPAL MIGUEL GUILLN PRIM;CALLE FUENTIDUEA;MADRID;MADRID;28031;CASCO H.VALLECAS;VILLA DE VALLECAS;40.373818554521606;-3.62315146859815;28079054
44;4673;CENTRO DEPORTIVO MUNICIPAL MORATALAZ;CALLE VALDEBERNARDO;MADRID;MADRID;28030;PAVONES;MORATALAZ;40.39885854572329;-3.63243229021453;28079036
45;4691;CENTRO DEPORTIVO MUNICIPAL MOSCARD;CALLE ANDRES ARTEAGA;MADRID;MADRID;28026;MOSCARDO;USERA;40.3885029042696;-3.70630307980802;28079056
46;4693;CENTRO DEPORTIVO MUNICIPAL ORCASITAS;AVENIDA RAFAELA YBARRA;MADRID;MADRID;28026;ZOFIO;USERA;40.37558213858421;-3.71245854352948;28079056
47;4690;CENTRO DEPORTIVO MUNICIPAL ORCASUR;CALLE MOREJA;MADRID;MADRID;28041;ORCASUR;USERA;40.3702199337385;-3.69946890060774;28079056
48;4684794;CENTRO DEPORTIVO MUNICIPAL PABELLN VILLA DE MADRID;CALLE BREZOS;MADRID;MADRID;28042;ALAMEDA DE OSUNA;BARAJAS;40.4614570832495;-3.58910692917261;28079055
49;4675;CENTRO DEPORTIVO MUNICIPAL PALOMERAS;CALLE TRANVIA DE ARGANDA;MADRID;MADRID;28031;PALOMERAS SURESTE;PUENTE DE VALLECAS;40.3826036223028;-3.63371518083724;28079040
50;4622991;CENTRO DEPORTIVO MUNICIPAL PEPU HERNNDEZ;AVENIDA NIZA;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;40.427629273303104;-3.6063181769844705;28079016
51;10630252;CENTRO DEPORTIVO MUNICIPAL PEAGRANDE;AVENIDA Monforte de Lemos;MADRID;MADRID;28029;PEAGRANDE;FUENCARRAL-EL PARDO;40.4406484386394;-3.7090534890274305;28079038
52;4727;CENTRO DEPORTIVO MUNICIPAL PEUELAS;CALLE ARGANDA;MADRID;MADRID;28005;ACACIAS;ARGANZUELA;40.3986553234066;-3.70495975984577;28079047
53;4719;CENTRO DEPORTIVO MUNICIPAL PLATA Y CASTAAR;PASEO PLATA Y CASTAAR;MADRID;MADRID;28021;SAN ANDRES;VILLAVERDE;40.3499899734807;-3.71784130732028;28079017
54;4718;CENTRO DEPORTIVO MUNICIPAL PLAYA VICTORIA;CALLE HIERBABUENA;MADRID;MADRID;28039;BERRUGUETE;TETUAN;40.459276347220396;-3.7021136988422496;28079050
55;4701;CENTRO DEPORTIVO MUNICIPAL PRADILLO;CALLE PRADILLO;MADRID;MADRID;28002;CIUDAD JARDIN;CHAMARTIN;40.4491062262673;-3.67161827700941;28079011
56;4720;CENTRO DEPORTIVO MUNICIPAL PUEBLO NUEVO;CALLE FRANCISCO RIOJA;MADRID;MADRID;28017;PUEBLO NUEVO;CIUDAD LINEAL;40.4300324015862;-3.6385363548054803;28079016
57;4678;CENTRO DEPORTIVO MUNICIPAL PUENTE DE VALLECAS;CALLE PAYASO FOFO;MADRID;MADRID;28018;PALOMERAS BAJAS;PUENTE DE VALLECAS;40.3914619470786;-3.65986360297758;28079040
58;106242;CENTRO DEPORTIVO MUNICIPAL RAL GONZLEZ;CALLE BENIMAMET;MADRID;MADRID;28021;SAN CRISTOBAL;VILLAVERDE;40.346220026067;-3.68433772880636;28079017
59;4689;CENTRO DEPORTIVO MUNICIPAL SAN BLAS;CALLE ARCOS DE JALON;MADRID;MADRID;28037;HELLIN;SAN BLAS-CANILLEJAS;40.42881010701649;-3.6113273589762303;28079016
60;4686;CENTRO DEPORTIVO MUNICIPAL SAN CRISTBAL;PLAZA PINAZO;MADRID;MADRID;28021;SAN CRISTOBAL;VILLAVERDE;40.3426731709949;-3.69144873805088;28079017
61;4692;CENTRO DEPORTIVO MUNICIPAL SAN FERMN;CALLE SAN MARIO;MADRID;MADRID;28041;SAN FERMIN;USERA;40.3753057742129;-3.6927010241442897;28079056
62;4679;CENTRO DEPORTIVO MUNICIPAL SAN JUAN BAUTISTA;CALLE TREVIANA;MADRID;MADRID;28043;SAN JUAN BAUTISTA;CIUDAD LINEAL;40.4486497631605;-3.65857117974668;28079011
63;4706;CENTRO DEPORTIVO MUNICIPAL SANTA ANA;PASEO ALAMEDILLAS;MADRID;MADRID;28034;VALVERDE;FUENCARRAL-EL PARDO;40.4980946931544;-3.69635801019994;28079060
64;28525;CENTRO DEPORTIVO MUNICIPAL TENIS CASA DE CAMPO;CAMINO PRINCIPE;MADRID;MADRID;28011;CASA DE CAMPO;MONCLOA-ARAVACA;40.421436625700494;-3.73573962566477;28079024
65;120275;CENTRO DEPORTIVO MUNICIPAL VALDEBERNARDO;CALLE LADERA DE LOS ALMENDROS;MADRID;MADRID;28032;CASCO H.VICALVARO;VICALVARO;40.4041896105729;-3.62290114486319;28079036
66;4677;CENTRO DEPORTIVO MUNICIPAL VALLECAS;CALLE ARROYO DEL OLIVAR;MADRID;MADRID;28018;PALOMERAS BAJAS;PUENTE DE VALLECAS;40.390368919782404;-3.65721368286077;28079040
67;7411340;CENTRO DEPORTIVO MUNICIPAL VALLEHERMOSO;AVENIDA FILIPINAS;MADRID;MADRID;28003;VALLEHERMOSO;CHAMBERI;40.4406484386394;-3.7090534890274305;28079038
68;4699;CENTRO DEPORTIVO MUNICIPAL VICENTE DEL BOSQUE;AVENIDA MONFORTE DE LEMOS;MADRID;MADRID;28029;LA PAZ;FUENCARRAL-EL PARDO;40.4789135943213;-3.69354065974728;28079039
69;4688;CENTRO DEPORTIVO MUNICIPAL VICLVARO (MARGOT MOLES);PASEO POLIDEPORTIVO;MADRID;MADRID;28032;AMBROZ;VICALVARO;40.409140618584;-3.60326473285039;28079036
70;10520719;SALA MUNICIPAL DE ESGRIMA;AVENIDA FILIPINAS;MADRID;MADRID;28003;VALLEHERMOSO;CHAMBERI;40.440630566426;-3.7090297189969297;28079038
