PK,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD
49338,CENTRO DEPORTIVO MUNICIPAL ALBERTO GARCA,"CALLE REGUERA DE TOMATEROS, 39B",MADRID,MADRID,28053,ENTREVIAS,PUENTE DE VALLECAS,40.372421418063400,-3.6574515621755100
10183549,CENTRO DEPORTIVO MUNICIPAL ALCANTARA,CALLE ALCANTARA,MADRID,MADRID,28006,GOYA,SALAMANCA,40.42810291538110,-3.6737317205040500
114782,CENTRO DEPORTIVO MUNICIPAL ALFREDO GOYENECHE,CALLE ARROYO DE POZUELO,,,28023,ARAVACA,MONCLOA-ARAVACA,40.45212135012850,-3.783283203719190
4696,CENTRO DEPORTIVO MUNICIPAL ALUCHE,AVENIDA DE LAS AGUILAS,MADRID,MADRID,28044,LAS AGUILAS,LATINA,40.382720517194700,-3.773653600881560
99578,CENTRO DEPORTIVO MUNICIPAL BARAJAS,AVENIDA LOGROO,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,40.46301382809650,-3.587693324074620
10051058,CENTRO DEPORTIVO MUNICIPAL BARCEL,MERCADO BARCELO,MADRID,MADRID,28004,JUSTICIA/ CENTRO,,40.42671069347760,-3.6988277636112700
4705,CENTRO DEPORTIVO MUNICIPAL CASA DE CAMPO,PASEO PUERTA DEL ANGEL,MADRID,MADRID,28011,CASA DE CAMPO,MONCLOA-ARAVACA,40.41612628789200,-3.733536573641620
78960,CENTRO DEPORTIVO MUNICIPAL CENTRO INTEGRADO ARGANZUELA,CALLE CANARIAS,MADRID,MADRID,28045,PALOS DE MOGUER,ARGANZUELA,40.40207279862860,-3.6955325387824000
4687,CENTRO DEPORTIVO MUNICIPAL CERRO ALMODVAR,CALLE CERRO DE ALMODOVAR,MADRID,MADRID,28007,SANTA EUGENIA,VILLA DE VALLECAS,40.38168570611530,-3.602336460953480
4700,CENTRO DEPORTIVO MUNICIPAL CHAMARTN,AVENIDA PIO XII,MADRID,MADRID,28016,NUEVA ESPAA,CHAMARTIN,40.46113349830690,-3.676208246061120
6208448,CENTRO DEPORTIVO MUNICIPAL CIRCUITO BMX,CALLE EMBAJADORES,MADRID,MADRID,28045,LEGAZPI,ARGANZUELA,40.385539006771200,-3.6898722494765300
4702,CENTRO DEPORTIVO MUNICIPAL CIUDAD DE LOS POETAS,CALLE ANTONIO MACHADO,MADRID,MADRID,28035,VALDEZARZA,MONCLOA-ARAVACA,40.465920678080800,-3.7189325594658500
4672,CENTRO DEPORTIVO MUNICIPAL CONCEPCIN,CALLE JOSE DEL HIERRO,MADRID,MADRID,28027,CONCEPCION,CIUDAD LINEAL,40.43725652047250,-3.6484498132292000
134059,CENTRO DEPORTIVO MUNICIPAL DAOZ Y VELARDE 1,PLAZA DAOIZ Y VELARDE,MADRID,MADRID,28007,PACIFICO,RETIRO,40.4013311774335,-3.677813143476420
4726,CENTRO DEPORTIVO MUNICIPAL DAOZ Y VELARDE 2,CALLE ALBERCHE,MADRID,MADRID,28007,PACIFICO,RETIRO,40.400799189712300,-3.6778902970366800
140197,CENTRO DEPORTIVO MUNICIPAL EL ESPINILLO,CARRETERA VILLAVERDE A VALLECAS,MADRID,MADRID,28041,LOS ROSALES,VILLAVERDE,40.35634193991930,-3.686595141820630
84661,CENTRO DEPORTIVO MUNICIPAL EL OLIVILLO,CALLE OLIVILLO,MADRID,MADRID,28011,LUCERO,LATINA,40.40652470221460,-3.745889233801080
4676,CENTRO DEPORTIVO MUNICIPAL ENTREVAS,RONDA SUR,MADRID,MADRID,28053,ENTREVIAS,PUENTE DE VALLECAS,40.378413212706200,-3.674532317137480
6486044,CENTRO DEPORTIVO MUNICIPAL ESCUELAS DE SAN ANTN,CALLE FARMACIA,MADRID,MADRID,28004,JUSTICIA,CENTRO,40.42382670120850,-3.699010103263690
4728,CENTRO DEPORTIVO MUNICIPAL ESTANQUE DEL RETIRO,PASEO COLOMBIA,MADRID,MADRID,28009,LOS JERONIMOS,RETIRO,40.418436005960800,-3.6845031319515700
4622862,CENTRO DEPORTIVO MUNICIPAL FABIN RONCERO,AVENIDA SEPTIMA,MADRID,MADRID,28022,REJAS,SAN BLAS-CANILLEJAS,40.44965684114440,-3.597577201182500
4703,CENTRO DEPORTIVO MUNICIPAL FERNANDO MARTN,AVENIDA SANTO ANGEL DE LA GUARDA,MADRID,MADRID,28039,VALDEZARZA,MONCLOA-ARAVACA,40.460935404623100,-3.7121918299288600
4623547,CENTRO DEPORTIVO MUNICIPAL FRANCISCO FERNNDEZ OCHOA,CALLE CATORCE OLIVAS,MADRID,MADRID,28054,BUENAVISTA,CARABANCHEL,40.36581776978110,-3.740893980533780
4685,CENTRO DEPORTIVO MUNICIPAL FRANCOS RODRGUEZ,CALLE NUMANCIA,MADRID,MADRID,28039,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,40.45358753138910,-3.713093094582230
4623697,CENTRO DEPORTIVO MUNICIPAL FUENTE DEL BERRO,CALLE ELVIRA,MADRID,MADRID,28028,FUENTE DEL BERRO,SALAMANCA,40.42171956854870,-3.6652515154670100
124194,CENTRO DEPORTIVO MUNICIPAL FLIX RUBIO,CALLE ALIANZA,MADRID,MADRID,28041,LOS ROSALES,VILLAVERDE,40.357429678675200,-3.691528804696940
4698,CENTRO DEPORTIVO MUNICIPAL GALLUR,CALLE GALLUR,MADRID,MADRID,28047,LOS CARMENES,LATINA,40.398465832065,-3.7353834506869200
51661,CENTRO DEPORTIVO MUNICIPAL GIMNASIO MOSCARD,CALLE PILAR DE ZARAGOZA,MADRID,MADRID,28028,GUINDALERA,SALAMANCA,40.437945289676900,-3.674502029997260
4680,CENTRO DEPORTIVO MUNICIPAL HORTALEZA,CARRETERA ESTACION DE HORTALEZA,MADRID,MADRID,28033,APOSTOL SANTIAGO,HORTALEZA,40.4787279264401,-3.6527183525553000
4704,CENTRO DEPORTIVO MUNICIPAL JOS MARA CAGIGAL,CALLE SANTA POLA,MADRID,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,40.43214955342780,-3.7369645992831300
4623700,CENTRO DEPORTIVO MUNICIPAL LA ALMUDENA,CALLE NICOLAS SALMERN,MADRID,MADRID,28017,PUEBLO NUEVO,CIUDAD LINEAL,40.42060649869600,-3.6324237307227600
4722,CENTRO DEPORTIVO MUNICIPAL LA BOMBILLA,CALLE SENDA DEL REY,MADRID,MADRID,28040,CASA DE CAMPO,MONCLOA-ARAVACA,40.43266791217280,-3.731947836490640
4697,CENTRO DEPORTIVO MUNICIPAL LA CHOPERA,PASEO FERNAN NU&Ntilde;EZ,MADRID,MADRID,28009,LOS JERONIMOS,RETIRO,40.41166321237760,-3.6856838249046100
4674,CENTRO DEPORTIVO MUNICIPAL LA ELIPA,CALLE ALCALDE GARRIDO JUARISTI,MADRID,MADRID,28030,MEDIA LEGUA,MORATALAZ,40.41433123768480,-3.6559498758522800
4694,CENTRO DEPORTIVO MUNICIPAL LA FUNDI,CALLE ALICANTE,MADRID,MADRID,28045,DELICIAS,ARGANZUELA,40.39437715885100,-3.691341060146100
104235,CENTRO DEPORTIVO MUNICIPAL LA MAS,CALLE MASO,MADRID,MADRID,28034,MIRASIERRA,FUENCARRAL-EL PARDO,40.48442599932080,-3.7144222564719800
4695,CENTRO DEPORTIVO MUNICIPAL LA MINA,CALLE MONSEOR OSCAR ROMERO,MADRID,MADRID,28025,VISTA ALEGRE,CARABANCHEL,40.38234955664600,-3.746482524823700
4707,CENTRO DEPORTIVO MUNICIPAL LA VAGUADA,AVENIDA MONFORTE DE LEMOS,MADRID,MADRID,28029,EL PILAR,FUENCARRAL-EL PARDO,40.47876758357450,-3.7086993281311900
4834,CENTRO DEPORTIVO MUNICIPAL LAGO CASA DE CAMPO,PASEO EMBARCADERO,MADRID,MADRID,28011,CASA DE CAMPO,MONCLOA-ARAVACA,40.417013097503700,-3.7314952685679900
4538574,CENTRO DEPORTIVO MUNICIPAL LAS CRUCES,AVENIDA POBLADOS,MADRID,MADRID,28044,LAS AGUILAS,LATINA,40.379148937377300,-3.756554762411960
4619937,CENTRO DEPORTIVO MUNICIPAL LOS PRUNOS,CALLE PETUNIAS,MADRID,MADRID,28042,PALOMAS,HORTALEZA,40.453257453448000,-3.6186956428199800
4681,CENTRO DEPORTIVO MUNICIPAL LUIS ARAGONS,CALLE EL PROVENCIO,MADRID,MADRID,28043,CANILLAS,HORTALEZA,40.464650948053800,-3.6275877145025800
121729,CENTRO DEPORTIVO MUNICIPAL MARQUS DE SAMARANCH,PASEO IMPERIAL,MADRID,MADRID,28005,IMPERIAL,ARGANZUELA,40.40761501410640,-3.7173807221939100
4701827,CENTRO DEPORTIVO MUNICIPAL MIGUEL GUILLN PRIM,CALLE FUENTIDUEA,MADRID,MADRID,28031,CASCO H.VALLECAS,VILLA DE VALLECAS,40.37381855452160,-3.623151468598150
4673,CENTRO DEPORTIVO MUNICIPAL MORATALAZ,CALLE VALDEBERNARDO,MADRID,MADRID,28030,PAVONES,MORATALAZ,40.39885854572330,-3.632432290214530
4691,CENTRO DEPORTIVO MUNICIPAL MOSCARD,CALLE ANDRES ARTEAGA,MADRID,MADRID,28026,MOSCARDO,USERA,40.38850290426960,-3.706303079808020
4693,CENTRO DEPORTIVO MUNICIPAL ORCASITAS,AVENIDA RAFAELA YBARRA,MADRID,MADRID,28026,ZOFIO,USERA,40.37558213858420,-3.71245854352948
4690,CENTRO DEPORTIVO MUNICIPAL ORCASUR,CALLE MOREJA,MADRID,MADRID,28041,ORCASUR,USERA,40.37021993373850,-3.6994689006077400
4684794,CENTRO DEPORTIVO MUNICIPAL PABELLN VILLA DE MADRID,CALLE BREZOS,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,40.46145708324950,-3.5891069291726100
4675,CENTRO DEPORTIVO MUNICIPAL PALOMERAS,CALLE TRANVIA DE ARGANDA,MADRID,MADRID,28031,PALOMERAS SURESTE,PUENTE DE VALLECAS,40.38260362230280,-3.6337151808372400
4622991,CENTRO DEPORTIVO MUNICIPAL PEPU HERNNDEZ,AVENIDA NIZA,MADRID,MADRID,28022,ROSAS,SAN BLAS-CANILLEJAS,40.427629273303100,-3.6063181769844700
10630252,CENTRO DEPORTIVO MUNICIPAL PEAGRANDE,AVENIDA Monforte de Lemos,MADRID,MADRID,28029,PEAGRANDE,FUENCARRAL-EL PARDO,40.44064843863940,-3.709053489027430
4727,CENTRO DEPORTIVO MUNICIPAL PEUELAS,CALLE ARGANDA,MADRID,MADRID,28005,ACACIAS,ARGANZUELA,40.39865532340660,-3.704959759845770
4719,CENTRO DEPORTIVO MUNICIPAL PLATA Y CASTAAR,PASEO PLATA Y CASTAAR,MADRID,MADRID,28021,SAN ANDRES,VILLAVERDE,40.34998997348070,-3.7178413073202800
4718,CENTRO DEPORTIVO MUNICIPAL PLAYA VICTORIA,CALLE HIERBABUENA,MADRID,MADRID,28039,BERRUGUETE,TETUAN,40.4592763472204,-3.7021136988422500
4701,CENTRO DEPORTIVO MUNICIPAL PRADILLO,CALLE PRADILLO,MADRID,MADRID,28002,CIUDAD JARDIN,CHAMARTIN,40.44910622626730,-3.671618277009410
4720,CENTRO DEPORTIVO MUNICIPAL PUEBLO NUEVO,CALLE FRANCISCO RIOJA,MADRID,MADRID,28017,PUEBLO NUEVO,CIUDAD LINEAL,40.43003240158620,-3.638536354805480
4678,CENTRO DEPORTIVO MUNICIPAL PUENTE DE VALLECAS,CALLE PAYASO FOFO,MADRID,MADRID,28018,PALOMERAS BAJAS,PUENTE DE VALLECAS,40.39146194707860,-3.6598636029775800
106242,CENTRO DEPORTIVO MUNICIPAL RAL GONZLEZ,CALLE BENIMAMET,MADRID,MADRID,28021,SAN CRISTOBAL,VILLAVERDE,40.346220026067000,-3.684337728806360
4689,CENTRO DEPORTIVO MUNICIPAL SAN BLAS,CALLE ARCOS DE JALON,MADRID,MADRID,28037,HELLIN,SAN BLAS-CANILLEJAS,40.428810107016500,-3.6113273589762300
4686,CENTRO DEPORTIVO MUNICIPAL SAN CRISTBAL,PLAZA PINAZO,MADRID,MADRID,28021,SAN CRISTOBAL,VILLAVERDE,40.34267317099490,-3.6914487380508800
4692,CENTRO DEPORTIVO MUNICIPAL SAN FERMN,CALLE SAN MARIO,MADRID,MADRID,28041,SAN FERMIN,USERA,40.37530577421290,-3.6927010241442900
4679,CENTRO DEPORTIVO MUNICIPAL SAN JUAN BAUTISTA,CALLE TREVIANA,MADRID,MADRID,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,40.44864976316050,-3.6585711797466800
4706,CENTRO DEPORTIVO MUNICIPAL SANTA ANA,PASEO ALAMEDILLAS,MADRID,MADRID,28034,VALVERDE,FUENCARRAL-EL PARDO,40.49809469315440,-3.696358010199940
28525,CENTRO DEPORTIVO MUNICIPAL TENIS CASA DE CAMPO,CAMINO PRINCIPE,MADRID,MADRID,28011,CASA DE CAMPO,MONCLOA-ARAVACA,40.421436625700500,-3.735739625664770
120275,CENTRO DEPORTIVO MUNICIPAL VALDEBERNARDO,CALLE LADERA DE LOS ALMENDROS,MADRID,MADRID,28032,CASCO H.VICALVARO,VICALVARO,40.40418961057290,-3.622901144863190
4677,CENTRO DEPORTIVO MUNICIPAL VALLECAS,CALLE ARROYO DEL OLIVAR,MADRID,MADRID,28018,PALOMERAS BAJAS,PUENTE DE VALLECAS,40.390368919782400,-3.657213682860770
7411340,CENTRO DEPORTIVO MUNICIPAL VALLEHERMOSO,AVENIDA FILIPINAS,MADRID,MADRID,28003,VALLEHERMOSO,CHAMBERI,40.44064843863940,-3.709053489027430
4699,CENTRO DEPORTIVO MUNICIPAL VICENTE DEL BOSQUE,AVENIDA MONFORTE DE LEMOS,MADRID,MADRID,28029,LA PAZ,FUENCARRAL-EL PARDO,40.4789135943213,-3.693540659747280
4688,CENTRO DEPORTIVO MUNICIPAL VICLVARO (MARGOT MOLES),PASEO POLIDEPORTIVO,MADRID,MADRID,28032,AMBROZ,VICALVARO,40.40914061858400,-3.603264732850390
10520719,SALA MUNICIPAL DE ESGRIMA,AVENIDA FILIPINAS,MADRID,MADRID,28003,VALLEHERMOSO,CHAMBERI,40.440630566426000,-3.7090297189969300
